554.904,532.705,509.217,498.499,495.926,473.134,476.012,480.263,477.771,460.096,476.442,475.422,461.041,469.898,468.830,471.723,505.880,479.064,473.261,470.392
529.741,511.837,512.034,519.597,513.884,514.845,513.531,504.569,503.709,486.984,474.757,464.004,506.067,464.476,476.989,461.467,470.005,498.075,479.589,476.023
512.895,516.356,521.716,519.802,520.394,517.157,514.262,514.815,515.553,518.693,516.694,503.420,468.357,474.515,478.442,459.566,471.619,466.276,471.009,505.923
513.401,518.873,516.292,510.172,513.406,521.574,513.664,515.477,499.942,512.859,504.563,490.830,475.157,476.895,475.693,469.337,478.535,468.039,471.985,485.405
516.878,514.709,505.334,525.612,513.580,511.055,512.303,504.912,499.152,502.280,502.150,497.740,503.179,501.807,496.440,504.419,485.497,470.408,464.531,485.672
515.601,519.014,516.714,496.592,499.707,500.072,508.774,502.352,498.044,506.907,499.278,500.674,496.355,490.822,495.440,497.668,501.269,499.855,499.419,503.998
525.436,514.720,523.613,521.801,507.237,499.274,493.389,503.213,496.424,496.298,499.441,494.123,496.880,504.447,498.009,498.947,506.551,498.900,501.061,498.577
514.247,520.959,511.197,501.247,521.108,512.046,522.622,520.774,504.142,491.794,499.156,501.888,504.157,501.968,492.958,497.381,502.330,496.186,499.184,500.764
513.865,518.647,514.982,513.580,502.632,502.839,503.328,508.631,496.185,494.836,512.651,492.885,503.986,506.237,502.226,507.208,504.331,495.350,491.603,509.993
502.629,500.008,497.072,500.469,502.264,502.487,496.240,503.566,491.348,499.216,505.627,503.810,503.440,505.929,492.765,508.867,507.877,505.133,503.685,496.718
