449.412,458.151,453.403,441.953,451.449,442.602,441.474,446.144,445.267,458.884
441.474,432.621,449.412,447.085,442.271,442.602,441.474,446.144,442.326,445.267
441.474,441.474,432.621,448.701,440.241,443.379,442.271,442.271,442.602,446.144
441.474,432.621,432.621,432.621,444.997,440.241,442.271,442.271,442.602,446.144
441.474,432.621,432.621,432.621,432.621,432.621,432.621,432.621,432.621,442.271
432.621,432.621,432.621,432.621,432.621,432.621,432.621,431.267,441.953,442.271
432.621,432.621,432.621,432.621,432.621,432.621,432.621,432.621,431.267,431.267
432.621,432.621,432.621,432.621,432.621,432.621,432.621,432.621,432.621,431.267
432.621,432.621,432.621,432.621,432.621,432.621,432.621,432.621,431.267,431.267
432.621,432.621,432.621,432.621,432.621,432.621,432.621,431.267,431.267,430.949
