# (10, 250, 100, 0.5, 1.5, 0.05)
1.474,1.123,0.878,0.599,1.174,1.091,0.604,0.890,1.000,1.112,1.400,0.657,0.828,1.283,0.929,1.174,0.879,0.844,1.338,0.984,0.735,0.540,0.670,1.038,1.259,1.006,0.868,0.614,1.367,1.280
0.603,0.871,1.311,0.596,1.229,1.453,1.302,0.743,0.671,1.483,1.214,0.916,0.730,1.284,0.967,1.133,1.172,0.827,0.913,0.815,1.392,0.568,0.828,1.253,1.078,0.523,1.356,1.333,1.074,1.326
0.703,0.516,1.290,0.786,0.809,0.808,0.531,1.444,0.601,1.299,1.487,1.348,1.128,0.706,0.777,0.874,0.782,0.929,1.061,1.450,1.450,0.790,1.297,1.407,0.762,1.060,1.303,0.771,1.335,0.592
1.061,1.266,0.585,0.977,0.900,0.580,1.371,0.931,1.287,0.977,1.308,1.453,0.832,0.507,0.526,0.882,1.494,0.551,1.236,1.055,0.699,1.262,1.415,1.380,1.437,0.665,1.369,1.254,1.235,0.996
1.438,1.108,0.594,0.866,1.372,0.648,0.839,1.146,0.855,1.067,0.661,0.863,1.082,0.636,0.749,0.500,0.516,0.515,0.605,1.263,0.776,0.893,0.963,0.739,1.301,1.458,1.356,1.377,1.044,0.952
0.654,0.888,1.294,0.610,1.188,1.406,1.370,0.767,0.687,1.409,1.256,0.886,0.782,1.339,0.970,1.190,1.158,0.790,0.922,0.827,1.426,0.593,0.882,1.242,1.042,0.543,1.342,1.321,1.065,1.287
0.703,0.466,1.254,0.762,0.797,0.775,0.484,1.483,0.603,1.318,1.525,1.363,1.154,0.738,0.790,0.833,0.718,0.924,1.054,1.499,1.489,0.805,1.289,1.403,0.813,1.029,1.331,0.776,1.305,0.580
1.422,1.136,0.606,0.874,1.357,0.634,0.823,1.137,0.912,1.067,0.646,0.909,1.019,0.666,0.767,0.503,0.559,0.521,0.578,1.252,0.795,0.886,0.941,0.756,1.267,1.463,1.346,1.406,1.023,0.998
1.441,1.158,0.607,0.846,1.382,0.676,0.859,1.124,0.872,1.052,0.638,0.875,1.079,0.696,0.717,0.524,0.542,0.481,0.586,1.252,0.751,0.845,0.978,0.756,1.287,1.416,1.371,1.361,1.053,0.985
1.438,1.139,0.613,0.854,1.316,0.596,0.836,1.144,0.885,1.081,0.677,0.898,1.019,0.702,0.754,0.528,0.601,0.494,0.553,1.242,0.811,0.886,0.922,0.745,1.264,1.423,1.344,1.393,0.990,1.003
1.460,1.161,0.617,0.861,1.342,0.632,0.822,1.063,0.891,1.040,0.580,0.886,1.065,0.655,0.718,0.530,0.545,0.502,0.596,1.227,0.793,0.884,0.971,0.726,1.317,1.456,1.370,1.377,1.019,0.953
1.417,1.157,0.612,0.914,1.332,0.651,0.789,1.185,0.894,1.076,0.698,0.884,1.011,0.694,0.719,0.454,0.526,0.503,0.609,1.286,0.737,0.916,0.916,0.734,1.301,1.435,1.346,1.432,1.016,1.025
1.459,1.213,0.635,0.827,1.333,0.612,0.783,1.093,0.911,1.068,0.722,0.929,1.014,0.724,0.736,0.536,0.561,0.494,0.510,1.234,0.788,0.854,0.934,0.677,1.267,1.427,1.312,1.365,0.953,0.995
1.418,1.148,0.601,0.928,1.332,0.650,0.806,1.191,0.866,1.062,0.681,0.928,1.014,0.683,0.748,0.450,0.543,0.520,0.602,1.311,0.763,0.903,0.871,0.710,1.312,1.429,1.341,1.459,0.996,1.031
1.419,1.172,0.605,0.890,1.367,0.661,0.778,1.195,0.940,1.079,0.728,0.892,0.979,0.676,0.735,0.438,0.521,0.509,0.603,1.301,0.756,0.896,0.906,0.724,1.306,1.443,1.346,1.404,0.986,1.017
0.819,0.533,1.377,0.717,0.841,0.789,0.486,1.461,0.627,1.291,1.466,1.387,1.158,0.605,0.695,0.890,0.748,0.919,1.071,1.464,1.476,0.812,1.285,1.350,0.779,1.083,1.243,0.615,1.301,0.532
1.384,1.154,0.605,0.876,1.355,0.677,0.796,1.177,0.920,1.088,0.696,0.898,0.986,0.681,0.778,0.428,0.525,0.546,0.596,1.293,0.743,0.861,0.875,0.724,1.333,1.451,1.359,1.403,0.986,0.996
1.406,1.114,0.555,0.915,1.359,0.728,0.799,1.176,0.913,1.019,0.609,0.898,1.077,0.700,0.773,0.491,0.584,0.600,0.624,1.219,0.773,0.961,0.921,0.785,1.217,1.480,1.350,1.445,1.027,0.930
0.779,0.540,1.386,0.660,0.811,0.793,0.532,1.414,0.613,1.317,1.474,1.399,1.164,0.583,0.725,0.897,0.712,0.929,1.067,1.482,1.483,0.836,1.269,1.319,0.790,1.057,1.201,0.622,1.289,0.493
1.373,1.168,0.602,0.899,1.349,0.687,0.819,1.213,0.871,1.094,0.687,0.852,1.007,0.661,0.759,0.386,0.550,0.534,0.574,1.321,0.714,0.849,0.870,0.743,1.309,1.426,1.381,1.400,1.037,0.971
1.384,1.158,0.603,0.876,1.358,0.671,0.809,1.189,0.870,1.100,0.667,0.857,0.994,0.668,0.784,0.378,0.570,0.550,0.555,1.305,0.730,0.846,0.880,0.763,1.284,1.432,1.386,1.409,1.031,0.991
1.374,1.170,0.620,0.927,1.350,0.676,0.808,1.193,0.882,1.115,0.682,0.821,1.021,0.670,0.783,0.366,0.522,0.489,0.579,1.314,0.742,0.850,0.849,0.722,1.331,1.398,1.354,1.357,1.044,0.983
1.385,1.130,0.610,0.860,1.360,0.714,0.803,1.182,0.850,1.093,0.677,0.872,0.983,0.639,0.768,0.351,0.573,0.509,0.556,1.323,0.720,0.830,0.883,0.767,1.253,1.393,1.387,1.412,1.013,0.975
