434.477,434.221,427.545,431.129,440.049,440.049,438.627,448.359,441.474,431.267,443.042,440.257,439.646,443.396,448.055,446.558,456.983,436.797,446.870,450.951
431.438,429.907,431.289,429.380,426.099,426.544,432.806,429.785,426.600,440.391,426.600,441.399,439.820,429.907,429.785,437.738,443.451,446.423,446.677,441.953
429.736,431.474,429.785,428.008,425.989,433.875,429.044,434.829,426.544,427.897,430.949,425.820,438.762,440.049,426.544,426.600,439.981,447.079,441.103,445.010
431.289,432.662,426.544,431.005,438.280,430.225,437.671,431.436,429.785,435.575,427.897,425.820,442.126,439.234,439.646,435.852,441.957,431.267,440.218,438.391
425.820,433.795,438.603,427.897,434.314,434.829,426.600,434.221,426.600,433.131,431.289,424.635,426.600,426.600,426.544,431.289,448.267,444.226,431.289,442.860
435.661,426.544,426.600,429.785,426.600,426.600,434.922,429.907,429.225,426.373,426.544,427.897,432.040,431.317,425.820,426.544,429.215,425.820,434.221,430.949
431.289,426.544,429.225,424.635,426.544,424.635,426.600,429.215,426.600,425.820,429.215,426.600,426.600,433.667,426.544,426.373,426.544,424.844,431.289,432.313
434.051,426.544,437.205,434.312,430.659,427.897,426.373,433.223,429.682,425.820,426.544,429.785,432.389,426.544,426.544,426.544,426.600,434.221,431.129,429.380
432.586,433.732,436.616,437.402,429.785,424.692,431.324,431.436,425.820,431.289,426.600,425.820,429.682,426.600,433.875,423.912,426.544,429.215,432.218,434.221
426.600,434.221,432.733,425.649,426.600,431.436,426.544,425.820,426.600,430.544,429.785,431.436,425.820,426.544,429.785,430.641,426.544,431.324,424.844,426.544
